id,out_degree,pagerank,betw_approx
168,16,0.01678541026775379,0.10268997686800413
158,12,0.019968442232819322,0.08934296568618942
8,9,0.010019058821985113,0.056365117551965986
62,9,0.00762261497540844,0.03177403546288871
154,7,0.013497290888808137,0.030070003506250494
175,6,0.010981118409129345,0.06864888430646249
153,6,0.005436858815813112,0.00677869310587835
149,5,0.027271043385061564,0.04886732486973064
156,5,0.015538130509875528,0.027232081382041282
28,5,0.009999531404546801,0.03702218658112804
45,5,0.008960417562349466,0.05451496289507516
167,5,0.008254685712118386,0.008393477679764767
11,5,0.007398636190701925,0.040157011748832114
160,5,0.006925013537683534,0.003943432491948931
174,5,0.006067384141769564,0.01639895344787085
163,4,0.025277143991653473,0.07400109469074986
42,4,0.014331508576699384,0.0760043151181884
176,4,0.0072944759472533165,0.0046546632553047945
125,3,0.02292070063428758,0.014568297246725474
173,3,0.013451166785305018,0.027842579767198852
14,3,0.00948326420468612,0.02845495856722801
165,3,0.008871282118156364,0.005013938213617443
70,3,0.006863677116735721,0.016091954022988502
0,3,0.006840426312745756,0.05591673985819937
57,2,0.024581120057856357,0.004945201817695803
50,2,0.023921078489192962,0.009890403635391606
161,2,0.01798516894225466,0.012492203510647776
7,2,0.017915608707266408,0.009551813240666484
172,2,0.014554663784807277,0.04713661995137537
68,2,0.014066828129313242,0.010278636982726795
86,2,0.013529082525370974,0.019313017909649826
157,2,0.011462131057052478,0.0013279489823194717
131,2,0.008740962185102483,0.012296177492649024
25,2,0.008723404893892268,0.023500846475986808
47,2,0.008568887003604236,0.0011226944667201283
79,2,0.008362578423576584,0.03889334402566159
21,2,0.008298938483692814,0.0060939906569417385
40,2,0.007418348284993042,0.019241735721286644
152,2,0.00505992616887986,0.010692328254477412
38,2,0.004405364875235192,0.0032076984763432237
1,2,0.003937130370449957,0.005479818230419674
150,2,0.0038826293398953266,0.00032299741602067185
46,1,0.0522255108113446,0.0044201321266277155
60,1,0.050895515396406014,0.0007573732513588167
74,1,0.02540466916632669,0.0056134723336006415
23,1,0.024588767149734028,0.0
33,1,0.022516221565315023,0.0056134723336006415
30,1,0.022129731976458237,0.0
179,1,0.01961441282989923,0.02706495589414595
162,1,0.019556069515251368,0.018644747393744988
115,1,0.015742782141973707,0.0048115477145148355
129,1,0.013438955121787255,0.0
159,1,0.012185137305491287,0.00042323799340639753
141,1,0.010605322309061273,0.0033146217588879974
164,1,0.010268813533192,0.0005753490917885464
126,1,0.009485642879418797,0.0
128,1,0.008245128777952323,0.03475006682705159
111,1,0.007361155017910356,0.0048115477145148355
88,1,0.006545137547282175,0.003475006682705159
71,1,0.0060364073807921675,0.0
94,1,0.006033242540042369,0.0033413525795241913
151,1,0.005436858815813112,0.0006504499688140425
117,1,0.005141393891998594,0.007885592087677092
108,1,0.004935617462308339,0.0056134723336006415
96,1,0.004690849572924311,0.0056134723336006415
109,1,0.004394211505561478,0.0033413525795241913
177,1,0.0038826293398953266,0.0033413525795241913
113,0,0.01637264164484113,0.0
41,0,0.009556744225873093,0.0
90,0,0.008554462990322685,0.0
155,0,0.008362578423576584,0.0
98,0,0.008119290782291741,0.0
87,0,0.007186227145703999,0.0
107,0,0.006726037885438441,0.0
89,0,0.0067059134530380125,0.0
147,0,0.0067059134530380125,0.0
170,0,0.006291180463156205,0.0
53,0,0.0060364073807921675,0.0
32,0,0.004863197961530434,0.0
124,0,0.004690849572924311,0.0
34,0,0.004664173402008765,0.0
169,0,0.004629889376735051,0.0
26,0,0.004405364875235192,0.0
37,0,0.003937130370449957,0.0
166,0,0.0038826293398953266,0.0
171,0,0.0038826293398953266,0.0
81,0,0.0038826293398953266,0.0
65,0,0.0037107907534353847,0.0
