id,pagerank
46,0.04085451276514136
60,0.03981857337182471
149,0.021398671214097775
74,0.01989812715349712
163,0.019834273756761285
57,0.019288417423235095
23,0.019246141474332082
50,0.01876850643985429
125,0.01798465948014745
33,0.017635425888222638
30,0.01732801957129635
158,0.015667723133134498
179,0.015390439798714746
162,0.01534413791493046
161,0.01411239178237619
7,0.014055897277646633
168,0.013169973247613365
113,0.012845313054881024
115,0.012350572597866375
156,0.012190537682882831
172,0.011420496763990998
42,0.011242879139122962
68,0.011036128876213058
86,0.010614306065923295
154,0.01058952022683158
173,0.010553854192526803
129,0.010544277016609744
159,0.009560936514045569
157,0.008993079972013785
175,0.008615403602810148
141,0.008320466318727026
164,0.008056962808814072
8,0.007859488508597603
28,0.007845074751954097
41,0.0074967753929226656
126,0.007442087609249927
14,0.007439031663337496
45,0.007029139869683583
165,0.006960049903353037
131,0.006857582157669628
25,0.006843164042796953
47,0.00672177232177685
90,0.006711148843327649
79,0.0065614225740958385
155,0.0065614225740958385
21,0.0065100189811194056
167,0.0064760619696259845
128,0.0064687785312990175
98,0.006369380036695656
62,0.0059794208192698135
40,0.005819288127603434
11,0.005803920274829933
111,0.005774249501558536
176,0.00572261883252168
87,0.005636927106585567
160,0.005432770868507459
70,0.005384085297816419
0,0.0053662535682081815
107,0.005276067207433995
147,0.0052607396362440275
89,0.0052607396362440275
88,0.0051349467964682495
170,0.0049349327314677964
174,0.004759930073247056
71,0.00473526332612529
53,0.00473526332612529
94,0.004733011661770169
151,0.004265156913258328
153,0.004265156913258328
117,0.004033035075123632
152,0.0039693410652310935
108,0.0038715201025981503
32,0.003814794470687494
124,0.0036797379496676316
96,0.0036797379496676316
34,0.003658501077850902
169,0.0036319487765251457
38,0.003455878202350896
26,0.003455878202350896
109,0.0034469691000818857
37,0.0030882577173439
1,0.0030882577173439
171,0.0030456654215741544
177,0.0030456654215741544
166,0.0030456654215741544
150,0.0030456654215741544
81,0.0030456654215741544
65,0.00291067484408486
51,0.002345906214836863
49,0.002345906214836863
48,0.002345906214836863
44,0.002345906214836863
27,0.002345906214836863
24,0.002345906214836863
20,0.002345906214836863
22,0.002345906214836863
39,0.002345906214836863
36,0.002345906214836863
43,0.002345906214836863
35,0.002345906214836863
10,0.002345906214836863
12,0.002345906214836863
3,0.002345906214836863
2,0.002345906214836863
6,0.002345906214836863
5,0.002345906214836863
9,0.002345906214836863
4,0.002345906214836863
16,0.002345906214836863
17,0.002345906214836863
13,0.002345906214836863
15,0.002345906214836863
31,0.002345906214836863
29,0.002345906214836863
18,0.002345906214836863
19,0.002345906214836863
114,0.002345906214836863
112,0.002345906214836863
110,0.002345906214836863
101,0.002345906214836863
103,0.002345906214836863
104,0.002345906214836863
105,0.002345906214836863
106,0.002345906214836863
100,0.002345906214836863
102,0.002345906214836863
85,0.002345906214836863
92,0.002345906214836863
95,0.002345906214836863
93,0.002345906214836863
97,0.002345906214836863
99,0.002345906214836863
84,0.002345906214836863
91,0.002345906214836863
64,0.002345906214836863
63,0.002345906214836863
61,0.002345906214836863
56,0.002345906214836863
69,0.002345906214836863
72,0.002345906214836863
75,0.002345906214836863
73,0.002345906214836863
77,0.002345906214836863
76,0.002345906214836863
78,0.002345906214836863
80,0.002345906214836863
82,0.002345906214836863
83,0.002345906214836863
52,0.002345906214836863
54,0.002345906214836863
55,0.002345906214836863
59,0.002345906214836863
58,0.002345906214836863
67,0.002345906214836863
66,0.002345906214836863
138,0.002345906214836863
146,0.002345906214836863
145,0.002345906214836863
144,0.002345906214836863
143,0.002345906214836863
140,0.002345906214836863
142,0.002345906214836863
127,0.002345906214836863
130,0.002345906214836863
116,0.002345906214836863
121,0.002345906214836863
118,0.002345906214836863
119,0.002345906214836863
120,0.002345906214836863
123,0.002345906214836863
122,0.002345906214836863
139,0.002345906214836863
135,0.002345906214836863
134,0.002345906214836863
137,0.002345906214836863
136,0.002345906214836863
133,0.002345906214836863
132,0.002345906214836863
148,0.002345906214836863
178,0.002345906214836863
