source,target,t_infect,weight,directed
159,161,1197,1197,True
8,11,1201,1201,True
176,162,1207,1207,True
11,45,1208,1208,True
11,8,1214,1214,True
0,11,1223,1223,True
162,179,1227,1227,True
42,25,1229,1229,True
149,157,1232,1232,True
7,68,1245,1245,True
68,7,1256,1256,True
68,7,1261,1261,True
152,168,1275,1275,True
179,163,1275,1275,True
42,25,1281,1281,True
168,160,1294,1294,True
11,8,1296,1296,True
160,154,1297,1297,True
168,167,1299,1299,True
42,25,1303,1303,True
25,42,1309,1309,True
153,174,1309,1309,True
8,11,1310,1310,True
174,158,1314,1314,True
25,40,1315,1315,True
168,154,1330,1330,True
153,174,1349,1349,True
8,11,1355,1355,True
25,42,1364,1364,True
160,168,1378,1378,True
42,25,1379,1379,True
168,154,1387,1387,True
154,160,1393,1393,True
42,25,1398,1398,True
154,168,1403,1403,True
11,0,1411,1411,True
11,0,1413,1413,True
168,167,1413,1413,True
11,0,1415,1415,True
168,175,1415,1415,True
168,152,1420,1420,True
168,160,1421,1421,True
168,154,1427,1427,True
168,154,1430,1430,True
11,8,1438,1438,True
8,11,1443,1443,True
168,154,1460,1460,True
168,152,1483,1483,True
168,152,1500,1500,True
8,11,1505,1505,True
8,11,1516,1516,True
11,0,1518,1518,True
168,154,1519,1519,True
8,45,1521,1521,True
168,154,1522,1522,True
154,167,1523,1523,True
11,41,1524,1524,True
168,152,1525,1525,True
8,14,1529,1529,True
168,152,1529,1529,True
8,37,1530,1530,True
168,158,1531,1531,True
158,151,1532,1532,True
151,156,1533,1533,True
158,26,1549,1549,True
